Trait,Feature,Correlation,P-value,Significant
Extraversion,Feature_10,-0.06453982626765362,0.0038829808270024737,True
Agreeableness,Feature_1,0.062219558649236596,0.005377573858564497,True
Agreeableness,Feature_6,-0.05325905337480004,0.017218016234760516,True
Openness,Feature_2,0.048812842314811616,0.029042204145607733,True
Agreeableness,Feature_10,0.03718739698716178,0.09639127027265845,False
Extraversion,Feature_9,0.03485179061371966,0.11920519075677603,False
Neuroticism,Feature_14,-0.034437544086283654,0.12366091018928511,False
Conscientiousness,Feature_12,0.034230161374387266,0.12593982696636316,False
Neuroticism,Feature_4,-0.033693537913880495,0.13198852070966882,False
Extraversion,Feature_4,0.033023766443367665,0.1398507402098207,False
Agreeableness,Feature_5,-0.03283752801607941,0.14209969235413347,False
Openness,Feature_1,-0.03240383595875705,0.14744428566388992,False
Extraversion,Feature_8,-0.02928103982655396,0.19055132429158508,False
Conscientiousness,Feature_10,-0.02886882415424449,0.19687194783927514,False
Conscientiousness,Feature_2,0.0287368624736209,0.19892741583430387,False
Agreeableness,Feature_3,0.028576717667694315,0.20144286939974018,False
Neuroticism,Feature_6,0.02752464165947284,0.21854625330369473,False
Extraversion,Feature_13,-0.027435611820159148,0.22004004759703724,False
Conscientiousness,Feature_7,-0.026287101990331543,0.23996950144669893,False
Openness,Feature_4,0.025618692399085402,0.25213690948968254,False
Agreeableness,Feature_7,0.0251623410681991,0.2606870754913375,False
Agreeableness,Feature_8,-0.024434987090358004,0.27472510286840207,False
Extraversion,Feature_1,-0.024406219479198486,0.27529072937752236,False
Neuroticism,Feature_12,0.022684084523316862,0.31060215385521533,False
Conscientiousness,Feature_1,-0.022406802498763305,0.3165552118894825,False
Conscientiousness,Feature_9,0.02134285424645766,0.340086985656729,False
Neuroticism,Feature_11,-0.02109471397002629,0.3457323537844352,False
Extraversion,Feature_6,0.02105054007763571,0.3467435633721483,False
Agreeableness,Feature_2,-0.020626925427973928,0.3565361244076956,False
Conscientiousness,Feature_6,-0.019239481949260347,0.38981248860263934,False
Extraversion,Feature_12,0.018298901106827428,0.4134093807267622,False
Neuroticism,Feature_1,-0.01813167570972303,0.4176914353083402,False
Neuroticism,Feature_9,-0.017208883287099526,0.44178618245361595,False
Extraversion,Feature_15,-0.016794894089794427,0.4528489508455425,False
Neuroticism,Feature_3,0.0167456872261892,0.45417418956903577,False
Conscientiousness,Feature_5,0.01614744592316983,0.4704596809656707,False
Conscientiousness,Feature_3,-0.01479894986566155,0.5083227340423987,False
Conscientiousness,Feature_15,-0.01415814017285851,0.5268595893085318,False
Extraversion,Feature_3,0.01282328558357965,0.5665500384814959,False
Extraversion,Feature_14,0.011826388572440791,0.5970968327713335,False
Conscientiousness,Feature_8,-0.011328831485584601,0.6126178102537615,False
Conscientiousness,Feature_13,0.010127384265436346,0.6508088192526663,False
Agreeableness,Feature_14,0.009455185160307389,0.6725916331458732,False
Neuroticism,Feature_10,-0.009243255452223448,0.679517712305285,False
Agreeableness,Feature_9,-0.008851269228479291,0.6923993470184786,False
Agreeableness,Feature_11,-0.008189018529398422,0.7143641633215149,False
Neuroticism,Feature_8,0.00815471057031769,0.7155087098019216,False
Openness,Feature_9,0.007973318051040627,0.7215707096813916,False
Extraversion,Feature_11,-0.007515260013927929,0.7369558771562926,False
Openness,Feature_15,-0.0069694414055921665,0.7554267606035325,False
Openness,Feature_7,-0.006964679279784057,0.755588548248425,False
Openness,Feature_11,0.00692911541165417,0.7567971272418874,False
Conscientiousness,Feature_11,0.005700996473791523,0.7988783553955622,False
Extraversion,Feature_5,-0.00550326807328302,0.8057119370699917,False
Openness,Feature_6,0.00539079091717269,0.8096058601286498,False
Agreeableness,Feature_13,-0.005388909719323249,0.8096710269472934,False
Conscientiousness,Feature_4,0.005276911135802708,0.8135531454305779,False
Openness,Feature_5,-0.004804349816112528,0.8299825328158758,False
Conscientiousness,Feature_14,0.004624931706359137,0.8362402279422466,False
Agreeableness,Feature_15,0.0041275027718113335,0.8536424686384827,False
Neuroticism,Feature_5,0.004072679030866727,0.8555649659911816,False
Agreeableness,Feature_4,-0.004059221624630585,0.8560370066232386,False
Extraversion,Feature_2,-0.003912198429205416,0.8611974041150433,False
Openness,Feature_3,0.0036272682537172346,0.8712149109488047,False
Neuroticism,Feature_2,0.0034680980216558466,0.8768200870660245,False
Openness,Feature_10,0.003013841908858719,0.8928497453866354,False
Agreeableness,Feature_12,0.002747494914321553,0.9022693365016792,False
Openness,Feature_8,0.0025121918720260594,0.9106025290236909,False
Neuroticism,Feature_15,-0.0024763526315337023,0.9118726517656754,False
Neuroticism,Feature_7,0.002282214017052848,0.9187566447009665,False
Openness,Feature_12,-0.00223298704781545,0.9205031801326458,False
Openness,Feature_13,0.0021518885557516732,0.9233813247804707,False
Openness,Feature_14,-0.001695316160046808,0.939602482752423,False
Extraversion,Feature_7,-0.00048176172931614636,0.9828216190883716,False
Neuroticism,Feature_13,-0.00017800118923208368,0.9936525134611147,False
